"filename", "language", "Markdown", "YAML", "Go Checksum File", "Docker", "Go Module File", "Go", "Shell Script", "Makefile", "MS SQL", "Ignore", "HTML", "Properties", "PowerShell", "comment", "blank", "total"
"/home/datttne/golang-project/auth-service/kafka/producer.go", "Go", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 7, 41
"/home/datttne/golang-project/auth-service/logger/logger.go", "Go", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 14, 61
"/home/datttne/golang-project/auth-service/main.go", "Go", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 9, 21, 82
"/home/datttne/golang-project/auth-service/middleware/authMiddleware.go", "Go", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/home/datttne/golang-project/auth-service/models/usersModel.go", "Go", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 29, 12, 96
"/home/datttne/golang-project/auth-service/repository/auth-repository.go", "Go", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 16, 90
"/home/datttne/golang-project/auth-service/routes/AuthRouter.go", "Go", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/home/datttne/golang-project/auth-service/routes/UserRouter.go", "Go", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 7, 38
"/home/datttne/golang-project/auth-service/service/auth-service.go", "Go", 0, 0, 0, 0, 0, 274, 0, 0, 0, 0, 0, 0, 0, 22, 58, 354
"/home/datttne/golang-project/auth-service/tests/setup_test.go", "Go", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 5, 22
"/home/datttne/golang-project/auth-service/websocket/websocket.go", "Go", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 18, 89
"/home/datttne/golang-project/auth/googleOAuth.go", "Go", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 23, 90
"/home/datttne/golang-project/backup.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 13, 18, 91
"/home/datttne/golang-project/cart-service/controller/cartController.go", "Go", 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 397, 107, 670
"/home/datttne/golang-project/cart-service/controller/server.go", "Go", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 62, 32, 139
"/home/datttne/golang-project/cart-service/dockerfile", "Docker", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"/home/datttne/golang-project/cart-service/gRPC/service/cart_service.pb.go", "Go", 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 10, 34, 260
"/home/datttne/golang-project/cart-service/gRPC/service/cart_service_grpc.pb.go", "Go", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 29, 16, 122
"/home/datttne/golang-project/cart-service/go.mod", "Go Module File", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 77
"/home/datttne/golang-project/cart-service/go.sum", "Go Checksum File", 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 216
"/home/datttne/golang-project/cart-service/kafka/consumer.go", "Go", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 12, 68
"/home/datttne/golang-project/cart-service/log/logger.go", "Go", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 14, 58
"/home/datttne/golang-project/cart-service/main.go", "Go", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 16, 29, 156
"/home/datttne/golang-project/cart-service/models/cartModel.go", "Go", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20, 8, 48
